time,step,quantity,kperp,value
2.0031746597796087,140,dbpar,18.5,2.280529723532893e-07
2.0031746597796087,140,dbpar,19.5,1.3827749027725847e-07
2.0031746597796087,140,dbpar,20.5,8.880499533892708e-08
2.0031746597796087,140,dbpar,21.5,6.154797410282726e-08
2.0031746597796087,140,dbpar,22.5,1.4997809988436374e-08
2.0031746597796087,140,dbpar,23.5,5.365374854453202e-09
2.0031746597796087,140,dbpar,24.5,2.3870573058894707e-09
2.0031746597796087,140,dbpar,25.5,8.976600054128833e-10
2.0031746597796087,140,dbpar,26.5,3.1723743950550073e-10
2.0031746597796087,140,dbpar,27.5,1.1493867093905404e-10
2.0031746597796087,140,dbpar,28.5,2.6022821627450358e-11
2.0031746597796087,140,dbpar,29.5,1.3328710035540286e-11
2.0031746597796087,140,dbpar,30.5,0.0
2.0031746597796087,140,dbpar,31.5,0.0
2.0031746597796087,140,dbpar,32.5,0.0
2.0031746597796087,140,dbpar,33.5,0.0
2.0031746597796087,140,dbpar,34.5,0.0
2.0031746597796087,140,dbpar,35.5,0.0
2.0031746597796087,140,dbpar,36.5,0.0
2.0031746597796087,140,dbpar,37.5,0.0
2.0031746597796087,140,dbpar,38.5,0.0
2.0031746597796087,140,dbpar,39.5,0.0
2.0031746597796087,140,dbpar,40.5,0.0
2.0031746597796087,140,dbpar,41.5,0.0
2.0031746597796087,140,dbpar,42.5,0.0
2.0031746597796087,140,dbpar,43.5,0.0
2.0031746597796087,140,dbpar,44.5,0.0
2.0031746597796087,140,dbpar,45.5,0.0
2.0031746597796087,140,z_plus,0.5,0.0
2.0031746597796087,140,z_plus,1.5,0.07933015298506665
2.0031746597796087,140,z_plus,2.5,0.13157684530579555
2.0031746597796087,140,z_plus,3.5,0.04367483915373413
2.0031746597796087,140,z_plus,4.5,0.023179299814307695
2.0031746597796087,140,z_plus,5.5,0.015215023546948366
2.0031746597796087,140,z_plus,6.5,0.006164734206249642
2.0031746597796087,140,z_plus,7.5,0.00522127226198265
2.0031746597796087,140,z_plus,8.5,0.003605263216452079
2.0031746597796087,140,z_plus,9.5,0.0022620360347889133
2.0031746597796087,140,z_plus,10.5,0.0017918495053486263
2.0031746597796087,140,z_plus,11.5,0.001059434578243043
2.0031746597796087,140,z_plus,12.5,0.0008817522385387203
2.0031746597796087,140,z_plus,13.5,0.0005610148597017144
2.0031746597796087,140,z_plus,14.5,0.0003700646460159937
2.0031746597796087,140,z_plus,15.5,0.00028166797858126847
2.0031746597796087,140,z_plus,16.5,0.00018832292716671056
2.0031746597796087,140,z_plus,17.5,0.00014498799958680147
2.0031746597796087,140,z_plus,18.5,9.938010717875793e-05
2.0031746597796087,140,z_plus,19.5,5.9677718912264115e-05
2.0031746597796087,140,z_plus,20.5,3.8173180192370636e-05
2.0031746597796087,140,z_plus,21.5,2.8826752394924075e-05
2.0031746597796087,140,z_plus,22.5,8.386069326688047e-06
2.0031746597796087,140,z_plus,23.5,3.5917390540630394e-06
2.0031746597796087,140,z_plus,24.5,1.6386014967575193e-06
2.0031746597796087,140,z_plus,25.5,6.686266731600437e-07
2.0031746597796087,140,z_plus,26.5,2.065803697150915e-07
2.0031746597796087,140,z_plus,27.5,7.940885434522402e-08
2.0031746597796087,140,z_plus,28.5,1.690605989796544e-08
2.0031746597796087,140,z_plus,29.5,9.296190292025668e-09
2.0031746597796087,140,z_plus,30.5,0.0
2.0031746597796087,140,z_plus,31.5,0.0
2.0031746597796087,140,z_plus,32.5,0.0
2.0031746597796087,140,z_plus,33.5,0.0
2.0031746597796087,140,z_plus,34.5,0.0
2.0031746597796087,140,z_plus,35.5,0.0
2.0031746597796087,140,z_plus,36.5,0.0
2.0031746597796087,140,z_plus,37.5,0.0
2.0031746597796087,140,z_plus,38.5,0.0
2.0031746597796087,140,z_plus,39.5,0.0
2.0031746597796087,140,z_plus,40.5,0.0
2.0031746597796087,140,z_plus,41.5,0.0
2.0031746597796087,140,z_plus,42.5,0.0
2.0031746597796087,140,z_plus,43.5,0.0
2.0031746597796087,140,z_plus,44.5,0.0
2.0031746597796087,140,z_plus,45.5,0.0
2.0031746597796087,140,z_minus,0.5,0.0
2.0031746597796087,140,z_minus,1.5,0.06698824789735339
2.0031746597796087,140,z_minus,2.5,0.15219479834811347
2.0031746597796087,140,z_minus,3.5,0.030490836624827166
2.0031746597796087,140,z_minus,4.5,0.01850530914896452
2.0031746597796087,140,z_minus,5.5,0.013409506562686618
2.0031746597796087,140,z_minus,6.5,0.006389521403738063
2.0031746597796087,140,z_minus,7.5,0.004983034556493515
2.0031746597796087,140,z_minus,8.5,0.00402053905604482
2.0031746597796087,140,z_minus,9.5,0.00259429761300309
2.0031746597796087,140,z_minus,10.5,0.002131321504317913
2.0031746597796087,140,z_minus,11.5,0.0013365412407047544
2.0031746597796087,140,z_minus,12.5,0.001141584478049646
2.0031746597796087,140,z_minus,13.5,0.0007363995645199067
2.0031746597796087,140,z_minus,14.5,0.0004870573217414151
2.0031746597796087,140,z_minus,15.5,0.00035233780463184725
2.0031746597796087,140,z_minus,16.5,0.0002560380420949123
2.0031746597796087,140,z_minus,17.5,0.00019583938851851918
2.0031746597796087,140,z_minus,18.5,0.0001297792521597153
2.0031746597796087,140,z_minus,19.5,7.557196311347952e-05
2.0031746597796087,140,z_minus,20.5,5.571139760477721e-05
2.0031746597796087,140,z_minus,21.5,4.481941660275219e-05
2.0031746597796087,140,z_minus,22.5,1.1868663704662673e-05
2.0031746597796087,140,z_minus,23.5,5.396182299351229e-06
2.0031746597796087,140,z_minus,24.5,2.4253881325809014e-06
2.0031746597796087,140,z_minus,25.5,9.345729606496728e-07
2.0031746597796087,140,z_minus,26.5,3.003554452045857e-07
2.0031746597796087,140,z_minus,27.5,1.0648315074688871e-07
2.0031746597796087,140,z_minus,28.5,2.1462253209303233e-08
2.0031746597796087,140,z_minus,29.5,1.0525436064883007e-08
2.0031746597796087,140,z_minus,30.5,0.0
2.0031746597796087,140,z_minus,31.5,0.0
2.0031746597796087,140,z_minus,32.5,0.0
2.0031746597796087,140,z_minus,33.5,0.0
2.0031746597796087,140,z_minus,34.5,0.0
2.0031746597796087,140,z_minus,35.5,0.0
2.0031746597796087,140,z_minus,36.5,0.0
2.0031746597796087,140,z_minus,37.5,0.0
2.0031746597796087,140,z_minus,38.5,0.0
2.0031746597796087,140,z_minus,39.5,0.0
2.0031746597796087,140,z_minus,40.5,0.0
2.0031746597796087,140,z_minus,41.5,0.0
2.0031746597796087,140,z_minus,42.5,0.0
2.0031746597796087,140,z_minus,43.5,0.0
2.0031746597796087,140,z_minus,44.5,0.0
2.0031746597796087,140,z_minus,45.5,0.0
3.000897399522725,241,u_perp,0.5,0.0
3.000897399522725,241,u_perp,1.5,0.09336037548792217
3.000897399522725,241,u_perp,2.5,0.18381407051204224
3.000897399522725,241,u_perp,3.5,0.0491504035357651
3.000897399522725,241,u_perp,4.5,0.023875912944491165
3.000897399522725,241,u_perp,5.5,0.019619400221317737
3.000897399522725,241,u_perp,6.5,0.011086665578498694
3.000897399522725,241,u_perp,7.5,0.007758096224139379
3.000897399522725,241,u_perp,8.5,0.0067061322326108
3.000897399522725,241,u_perp,9.5,0.004631335975183117
3.000897399522725,241,u_perp,10.5,0.003754390195993702
3.000897399522725,241,u_perp,11.5,0.0026518792155338054
3.000897399522725,241,u_perp,12.5,0.002511533090445561
3.000897399522725,241,u_perp,13.5,0.0019416213695743628
3.000897399522725,241,u_perp,14.5,0.0012927056913060943
3.000897399522725,241,u_perp,15.5,0.00108227633524609
3.000897399522725,241,u_perp,16.5,0.0008098073300096293
3.000897399522725,241,u_perp,17.5,0.000648582459123327
3.000897399522725,241,u_perp,18.5,0.0004634648843185632
3.000897399522725,241,u_perp,19.5,0.0003192415966705918
3.000897399522725,241,u_perp,20.5,0.000236215624968254
3.000897399522725,241,u_perp,21.5,0.00019146000471227808
3.000897399522725,241,u_perp,22.5,5.9475504006970005e-05
3.000897399522725,241,u_perp,23.5,2.223701421232885e-05
3.000897399522725,241,u_perp,24.5,1.1628610888840008e-05
3.000897399522725,241,u_perp,25.5,4.8290621853309565e-06
3.000897399522725,241,u_perp,26.5,2.053096036216509e-06
3.000897399522725,241,u_perp,27.5,6.794948613764706e-07
3.000897399522725,241,u_perp,28.5,1.859964607099013e-07
3.000897399522725,241,u_perp,29.5,9.290381642228033e-08
3.000897399522725,241,u_perp,30.5,0.0
3.000897399522725,241,u_perp,31.5,0.0
3.000897399522725,241,u_perp,32.5,0.0
3.000897399522725,241,u_perp,33.5,0.0
3.000897399522725,241,u_perp,34.5,0.0
3.000897399522725,241,u_perp,35.5,0.0
3.000897399522725,241,u_perp,36.5,0.0
3.000897399522725,241,u_perp,37.5,0.0
3.000897399522725,241,u_perp,38.5,0.0
3.000897399522725,241,u_perp,39.5,0.0
3.000897399522725,241,u_perp,40.5,0.0
3.000897399522725,241,u_perp,41.5,0.0
3.000897399522725,241,u_perp,42.5,0.0
3.000897399522725,241,u_perp,43.5,0.0
3.000897399522725,241,u_perp,44.5,0.0
3.000897399522725,241,u_perp,45.5,0.0
3.000897399522725,241,b_perp,0.5,0.0
3.000897399522725,241,b_perp,1.5,0.10010681977289106
3.000897399522725,241,b_perp,2.5,0.15776743883797278
3.000897399522725,241,b_perp,3.5,0.07618627257914991
3.000897399522725,241,b_perp,4.5,0.046205558966013235
3.000897399522725,241,b_perp,5.5,0.03391901669216352
3.000897399522725,241,b_perp,6.5,0.01869705251112084
3.000897399522725,241,b_perp,7.5,0.017058145506972742
3.000897399522725,241,b_perp,8.5,0.011971312655640949
3.000897399522725,241,b_perp,9.5,0.00765539978190528
3.000897399522725,241,b_perp,10.5,0.006820665678353626
3.000897399522725,241,b_perp,11.5,0.004419552787906211
3.000897399522725,241,b_perp,12.5,0.004285675329860813
3.000897399522725,241,b_perp,13.5,0.003121755826880341
3.000897399522725,241,b_perp,14.5,0.0021776095624088058
3.000897399522725,241,b_perp,15.5,0.0016752307460510718
3.000897399522725,241,b_perp,16.5,0.0012307788274843459
3.000897399522725,241,b_perp,17.5,0.001098166719709345
3.000897399522725,241,b_perp,18.5,0.0007732188309299131
3.000897399522725,241,b_perp,19.5,0.0005395124718966958
3.000897399522725,241,b_perp,20.5,0.0003942604026565424
3.000897399522725,241,b_perp,21.5,0.0003153413470065618
3.000897399522725,241,b_perp,22.5,0.0001026093205515741
3.000897399522725,241,b_perp,23.5,4.61281632915292e-05
3.000897399522725,241,b_perp,24.5,2.554034012467177e-05
3.000897399522725,241,b_perp,25.5,1.1412512623349417e-05
3.000897399522725,241,b_perp,26.5,5.11737081181577e-06
3.000897399522725,241,b_perp,27.5,1.9137262399376477e-06
